currency_id,currency_name,currency_code,date,buying,selling
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-24,15.0961,15.247
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-24,14.7818,14.9296
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-24,34.9673,35.317
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2023-10-24,58.7724,59.3601
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-25,0.3107,0.32
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-25,55.4675,56.0222
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-25,67.7646,68.4423
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-25,62.072,62.6927
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-25,5.0243,5.0746
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-25,4.9914,5.0413
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-25,7.8947,7.9737
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-25,0.6673,0.674
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-25,0.369,0.3801
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2023-10-25,179.3985,181.1925
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-25,40.4872,40.8921
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-25,35.2551,35.6077
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-25,14.7858,14.9337
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-25,15.1006,15.2516
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2023-10-25,58.9231,59.5124
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2023-10-25,72.8066,73.5347
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2023-10-25,2.9035,2.9325
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-25,7.585,7.6608
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-25,0.3702,0.3739
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-26,0.3107,0.32
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-26,7.8612,7.9398
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-26,4.9542,5.0037
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-26,0.667,0.6737
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-26,61.9527,62.5722
